node_id,x,y,z
1,1532.14,1578.57,0
2,4395.24,1578.57,0
3,7273.81,1578.57,0
4,10152.38,1594.05,0
5,13015.48,1594.05,0
6,15894.05,1578.57,0
7,1547.62,4240.48,0
8,4410.71,4240.48,0
9,7273.81,4240.48,0
10,10152.38,4240.48,0
11,13030.95,4240.48,0
12,15894.05,4240.48,0
13,1532.14,6886.9,0
14,4410.71,6902.38,0
15,7273.81,6902.38,0
16,10152.38,6886.9,0
17,13030.95,6902.38,0
18,15894.05,6902.38,0
19,1532.14,9548.81,0
20,4395.24,9564.29,0
21,7273.81,9564.29,0
22,10152.38,9548.81,0
23,13015.48,9548.81,0
24,15894.05,9548.81,0
